Year	Debt Held by the Public as a % of GDP
1940	43.6
1941	41.5
1942	45.9
1943	69.2
1944	86.4
1945	103.9
1946	106.1
1947	93.9
1948	82.4
1949	77.4
1950	78.5
1951	65.5
1952	60.1
1953	57.1
1954	57.9
1955	55.7
1956	50.6
1957	47.2
1958	47.7
1959	46.4
1960	44.3
1961	43.5
1962	42.3
1963	41.0
1964	38.7
1965	36.7
1966	33.7
1967	31.8
1968	32.2
1969	28.3
1970	27.0
1971	27.1
1972	26.4
1973	25.1
1974	23.1
1975	24.5
1976	26.7
1977	27.1
1978	26.6
1979	24.9
1980	25.5
1981	25.2
1982	27.9
1983	32.1
1984	33.1
1985	35.3
1986	38.4
1987	39.5
1988	39.8
1989	39.3
1990	40.8
1991	44.0
1992	46.6
1993	47.8
1994	47.7
1995	47.5
1996	46.8
1997	44.5
1998	41.6
1999	38.2
2000	33.6
2001	31.4
2002	32.5
2003	34.5
2004	35.5
2005	35.6
2006	35.3
2007	35.2
2008	39.3
2009	52.3
2010	60.9
2011	65.9
2012	70.4
2013	72.6
2014	74.1
2015	72.9
2016	76.7
2017	76.5
2018	78.0
2019	79.3
2020	80.9
2021	83.1
2022	85.7
2023	87.9
2024	89.6
2025	91.5
2026	93.1
2027	94.5
2028	96.2
